Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-09-15 00:00:00-04:00,14.300000190734863,14.5,14.289999961853027,14.489999771118164,14.489999771118164,22595300,0.0,0.0
2025-09-16 00:00:00-04:00,14.529999732971191,14.5600004196167,14.300000190734863,14.40999984741211,14.40999984741211,36118500,0.0,0.0
2025-09-17 00:00:00-04:00,14.199999809265137,14.350000381469727,13.960000038146973,14.09000015258789,14.09000015258789,36984900,0.0,0.0
2025-09-18 00:00:00-04:00,14.119999885559082,14.220000267028809,14.050000190734863,14.1899995803833,14.1899995803833,34144400,0.0,0.0
2025-09-19 00:00:00-04:00,14.319999694824219,14.489999771118164,14.289999961853027,14.460000038146973,14.460000038146973,50077200,0.0,0.0
2025-09-22 00:00:00-04:00,14.600000381469727,14.829999923706055,14.550000190734863,14.819999694824219,14.819999694824219,46330200,0.0,0.0
2025-09-23 00:00:00-04:00,14.930000305175781,14.979999542236328,14.680000305175781,14.739999771118164,14.739999771118164,46486800,0.0,0.0
2025-09-24 00:00:00-04:00,14.8100004196167,14.84000015258789,14.609999656677246,14.680000305175781,14.680000305175781,53225000,0.0,0.0
2025-09-25 00:00:00-04:00,14.899999618530273,15.140000343322754,14.8100004196167,15.119999885559082,15.119999885559082,82467600,0.0,0.0
2025-09-26 00:00:00-04:00,15.210000038146973,15.609999656677246,15.180000305175781,15.539999961853027,15.539999961853027,70298800,0.0,0.0
2025-09-29 00:00:00-04:00,15.729999542236328,15.880000114440918,15.640000343322754,15.729999542236328,15.729999542236328,106000800,0.0,0.0
2025-09-30 00:00:00-04:00,15.479999542236328,15.729999542236328,15.449999809265137,15.699999809265137,15.699999809265137,78158400,0.0,0.0
2025-10-01 00:00:00-04:00,15.949999809265137,16.09000015258789,15.890000343322754,15.9399995803833,15.9399995803833,99182100,0.0,0.0
2025-10-02 00:00:00-04:00,16.170000076293945,16.18000030517578,15.390000343322754,15.760000228881836,15.760000228881836,100994200,0.0,0.0
2025-10-03 00:00:00-04:00,16.030000686645508,16.229999542236328,15.949999809265137,16.1299991607666,16.1299991607666,115057500,0.0,0.0
2025-10-06 00:00:00-04:00,16.309999465942383,16.420000076293945,16.260000228881836,16.350000381469727,16.350000381469727,100069200,0.0,0.0
2025-10-07 00:00:00-04:00,16.31999969482422,16.329999923706055,15.930000305175781,16.079999923706055,16.079999923706055,107605600,0.0,0.0
2025-10-08 00:00:00-04:00,16.489999771118164,16.530000686645508,16.399999618530273,16.450000762939453,16.450000762939453,54298800,0.0,0.0
2025-10-09 00:00:00-04:00,16.920000076293945,16.950000762939453,15.75,16.43000030517578,16.43000030517578,38589600,0.0,0.0
2025-10-10 00:00:00-04:00,16.700000762939453,16.93000030517578,16.520000457763672,16.6200008392334,16.6200008392334,37003000,0.0,0.0
2025-10-13 00:00:00-04:00,17.0,17.389999389648438,17.0,17.280000686645508,17.280000686645508,18819700,0.0,0.0
2025-10-14 00:00:00-04:00,16.940000534057617,17.440000534057617,16.670000076293945,17.18000030517578,17.18000030517578,19844500,0.0,0.0
2025-10-15 00:00:00-04:00,17.559999465942383,17.729999542236328,17.479999542236328,17.719999313354492,17.719999313354492,22694900,0.0,0.0
2025-10-16 00:00:00-04:00,17.700000762939453,18.149999618530273,17.670000076293945,18.06999969482422,18.06999969482422,21468800,0.0,0.0
2025-10-17 00:00:00-04:00,17.84000015258789,17.860000610351562,16.829999923706055,17.270000457763672,17.270000457763672,20875800,0.0,0.0
2025-10-20 00:00:00-04:00,17.510000228881836,17.549999237060547,17.25,17.5,17.5,13406200,0.0,0.0
2025-10-21 00:00:00-04:00,16.440000534057617,16.6200008392334,15.8100004196167,15.970000267028809,15.970000267028809,22621900,0.0,0.0
