Date,Predicted_Close
2026-03-16,185.4667
2026-03-17,185.4724
2026-03-18,185.4781
2026-03-19,185.4838
2026-03-20,185.4894
2026-03-23,185.4951
2026-03-24,185.5008
2026-03-25,185.5065
2026-03-26,185.5122
2026-03-27,185.5179
2026-03-30,185.5236
2026-03-31,185.5292
2026-04-01,185.5349
2026-04-02,185.5406
