Date,Predicted_Close
2026-03-16,269.031
2026-03-17,269.1075
2026-03-18,269.1841
2026-03-19,269.2607
2026-03-20,269.3372
2026-03-23,269.4138
2026-03-24,269.4903
2026-03-25,269.5669
2026-03-26,269.6435
2026-03-27,269.72
2026-03-30,269.7966
2026-03-31,269.8731
2026-04-01,269.9497
2026-04-02,270.0263
