symbol,name,current_price,day_high,day_low,fifty_two_week_high,fifty_two_week_low,volume,average_volume,market_cap,exchange,currency
BTE,Baytex Energy Corp,4.04,4.08,3.94,4.17,1.36,19948489,18590454,3105489152,NYQ,USD
RIOT,"Riot Platforms, Inc.",14.04,15.5599,14.005,23.935,6.19,19822587,18435288,5322927104,NCM,USD
ITUB,Itau Unibanco Banco Holding SA,7.98,8.27,7.95,9.6,4.970874,20420336,24938875,87949729792,NYQ,USD
GOOGL,Alphabet Inc.,302.28,307.615,300.44,349.0,140.53,23640054,33450227,3656681259008,NMS,USD
T,AT&T Inc.,27.72,27.845,27.495,29.79,22.95,27595358,42939550,196519526400,NYQ,USD
QBTS,D-Wave Quantum Inc.,17.55,18.685,17.43,46.75,5.77,19686812,31795791,6491984896,NYQ,USD
CCL,Carnival Corporation,23.99,24.83,23.78,34.03,15.07,23054046,22890224,33229498368,NYQ,USD
CSCO,"Cisco Systems, Inc.",78.33,79.26,77.935,88.19,52.11,19076679,23267086,309489238016,NMS,USD
KHC,The Kraft Heinz Company,22.58,22.71,22.285,31.15,21.985,18943133,16155934,26728955904,NMS,USD
GGB,Gerdau S.A.,3.3,3.47,3.29,4.66,2.27,18828422,18567603,6518185472,NYQ,USD
FCX,"Freeport-McMoRan, Inc.",56.38,59.045,55.975,69.75,27.66,21416614,20070431,81029431296,NYQ,USD
VZ,Verizon Communications Inc.,51.38,51.665,50.95,51.67,38.39,21769068,30848367,216704614400,NYQ,USD
SNDK,Sandisk Corporation,661.62,671.67,623.06,725.0,27.885,18684442,17093685,97655758848,NMS,USD
SMCI,"Super Micro Computer, Inc.",30.75,31.2201,30.22,62.36,27.6,18184525,29418924,18464819200,NMS,USD
UWMC,UWM Holdings Corporation,3.66,3.858,3.62,7.14,3.62,17985213,18758459,5879961088,NYQ,USD
PINS,"Pinterest, Inc.",18.18,18.751,17.83,39.93,13.84,20575147,19501172,12092220416,NYQ,USD
XOM,Exxon Mobil Corporation,156.12,156.89,153.0,159.61,97.8,17491781,20261139,650515120128,NYQ,USD
CDE,"Coeur Mining, Inc.",20.19,21.56,20.065,27.77,4.58,17595983,23880473,12963949568,NYQ,USD
PSLV,"""Sprott Physical Silver Trust""",26.1,27.44,25.84,38.13,9.97,17434983,23346103,16645857280,ASE,USD
ADBE,Adobe Inc.,249.32,256.7,247.19,422.95,244.28,17378071,5388221,102345859072,NMS,USD
MOS,Mosaic Company (The),29.31,31.3425,29.11,38.23,22.36,17407229,7910831,9306078208,NYQ,USD
APLD,Applied Digital Corporation,27.05,29.253,26.795,42.27,3.31,18034746,29082872,7562796544,NMS,USD
CPNG,"Coupang, Inc.",18.45,18.78,18.215,34.075,16.74,17009945,24990211,33730136064,NYQ,USD
META,"Meta Platforms, Inc.",613.71,629.1699,609.7,796.25,479.8,18758294,15086793,1552413491200,NMS,USD
NCLH,Norwegian Cruise Line Holdings ,18.87,19.965,18.81,27.18,14.21,19516526,21092596,8596146176,NYQ,USD
AGNC,AGNC Investment Corp.,10.23,10.57,10.21,12.19,7.85,17348116,20742996,11490737152,NMS,USD
PBR-A,Petroleo Brasileiro S.A. Petrob,16.78,17.18,16.76,17.63,10.28,16151200,10852195,109623246848,NYQ,USD
CRWV,"CoreWeave, Inc.",81.11,84.44,79.475,187.0,33.515,16622726,27165496,42638565376,NMS,USD
ET,Energy Transfer LP,18.75,18.83,18.49,19.3,14.6,16039289,15507411,64505901056,NYQ,USD
CAG,"ConAgra Brands, Inc.",16.41,16.865,16.345,27.68,15.96,15820399,12827013,7850042880,NYQ,USD
CMCSA,Comcast Corporation,30.16,30.55,30.105,35.35145,24.133083,18651332,34444329,109899857920,NMS,USD
PCG,Pacific Gas & Electric Co.,18.14,18.405,18.11,19.16,12.97,19010432,21123239,39871135744,NYQ,USD
CNH,CNH Industrial N.V.,10.65,10.87,10.445,14.27,9.0,15649068,12923840,13216080896,NYQ,USD
CMG,"Chipotle Mexican Grill, Inc.",32.52,33.12,32.365,58.42,29.75,15631252,17805854,43000479744,NYQ,USD
HAL,Halliburton Company,33.69,34.73,33.6634,37.03,18.72,15806013,13817419,28354400256,NYQ,USD
S,"SentinelOne, Inc.",14.52,14.55,13.37,21.4,12.235,18168478,8345131,4934897664,NYQ,USD
PTEN,"Patterson-UTI Energy, Inc.",10.29,10.385,9.6,10.39,5.1,16721879,10812236,3905828864,NMS,USD
PSKY,Paramount Skydance Corporation,9.72,9.99,9.54,20.86,9.54,16571643,10771109,10806123520,NMS,USD
HL,Hecla Mining Company,19.61,20.67,19.35,34.17,4.46,15500801,26096255,13145560064,NYQ,USD
PR,Permian Resources Corporation,19.35,19.36,18.89,19.636,10.01,16493072,11827967,16398638080,NYQ,USD
